Necessidade a ser atendida;Transversal;Público alvo;Unidades organizacionais;UF;Enfoque do desenvolvimento;Competência associada;Quantidade prevista de servidores;Área temática – Sistema Estruturante do Poder Executivo Federal;Modalidade;Tipo de aprendizagem;Especificação do tipo de aprendizagem;Título;Carga horária individual prevista;Término previsto;Ação gratuita;Custo individual previsto;A necessidade pode ser atendida pela Escola de Governo do meu Órgão
"Trabalhar a importância dos aspectos profissionais vinculados à formulação, ao planejamento, à execução e ao controle das metas institucionais;";Não;Servidores que atuam na área de Gestão de Pesssoas;PROGEPE;PR;Aprimoramento Técnico, Comportamental, gerencial ou liderança;15, Orientação por resultados, Normativa/Legal;9;Documentação e Arquivo;A distância;Evento de Capacitação;Convenção;ENCONTRO NACIONAL DE DIRIGENTES DE PESSOAL E RECURSOS HUMANOS DAS INSTITUIÇÕES FEDERAIS DE ENSINO;32;2020;;420;Não
Trabalhar o conhecimento da função do Estado das especificidades do serviço público da missão do IFPR e da conduta do servidor público;Sim;Servidores IFPR;IFPR;PR;Educação Formal;Autocrítica, Orientação por resultados;300;Ouvidoria, Tecnologia da informação e comunicação;Presencial;Evento de Capacitação;Curso;Ética e Serviço Público;20;0;Sim;;Não
Trabalhar o conhecimento da função do Estado das especificidades do serviço público da missão do IFPR e da conduta do servidor público;Sim;Servidores do IFPR;IFPR GT -Pessoas PROGEPE;PR;Aprimoramento Técnico, Educação Formal;Relacionamento interpessoal, Representação Institucional, Normativa/Legal;300;Documentação e Arquivo;Presencial;Evento de Capacitação;Curso;Lei No 8.112/90 regime jurídico do servidor público federal;00:00;2020;;200;Sim
Trabalhar o conhecimento da função do Estado das especificidades do serviço público da missão do IFPR e da conduta do servidor público;Sim;Servidores do IFPR;IFPR;PR;Aprimoramento Técnico, Educação Formal;Autocrítica, Orientação por resultados;300;4, Ouvidoria;;Evento de Capacitação;;Redação Oficial;00:00;2020;;100;Sim
Trabalhar o conhecimento da função do Estado das especificidades do serviço público da missão do IFPR e da conduta do servidor público;Sim;Servidores do IFPR;IFPR;PR;Aprimoramento Técnico, Educação Formal;Autocrítica, Representação Institucional;300;4, Gestão, organização e inovação institucional , Ouvidoria;;Evento de Capacitação;Curso;Curso de Formação e documentação processual administrativa;00:00;2020;;100;Sim
Trabalhar o conhecimento da função do Estado das especificidades do serviço público da missão do IFPR e da conduta do servidor público;Sim;Servidores do IFPR;IFPR;PR;Comportamental, gerencial ou liderança, Educação Formal;Autocrítica, Orientação por resultados;300;Documentação e Arquivo, Ouvidoria;Presencial;Evento de Capacitação;Curso;EXCELENCIA NO ATENDIMENTO;00:00;2020;Sim;;Não
Trabalhar o conhecimento da função do Estado das especificidades do serviço público da missão do IFPR e da conduta do servidor público;Sim;SERVIDORES DO IFPR;IFPR;PR;Aprimoramento Técnico, Educação Formal;Representação Institucional, Normativa/Legal;300;Correição;Presencial;Evento de Capacitação;;INTRODUÇÃO AO ORÇAMENTO PÚBLICO;00:00;2020;Sim;;Não
Melhorar o desempenho de atividades vinculadas ao ambiente organizacional em que atua e ao cargo que ocupa;Sim;Servidores atuantes na área de Compras;"PROAD; SEÇÃO DE COMPRAS";PR;Aprimoramento Técnico;Delegação, Relacionamento interpessoal;100;Correição, Controle Interno;Presencial;Evento de Capacitação;Curso;Formação de pregoeiros e equipe de apoio;20;2020;Sim;;Não
Melhorar o desempenho de atividades vinculadas ao ambiente organizacional em que atua e ao cargo que ocupa;Sim;Servidores do IFPR;IFPR;PR;Aprimoramento Técnico, Educação Formal;Relacionamento interpessoal, Representação Institucional;150;Correição, Comunicação;A distância, Presencial;Evento de Capacitação;Curso;Noções Introdutórias de Licitação e Contratos Administrativos;30;2020;Sim;;Sim
Melhorar o desempenho de atividades vinculadas ao ambiente organizacional em que atua e ao cargo que ocupa;Sim;Gestores e Fiscais de Contrato;IFPR;PR;Aprimoramento Técnico;Delegação, Representação Institucional;150;Administração financeira, Gestão, organização e inovação institucional ;A distância, Presencial;Evento de Capacitação;Curso;Gestão e Fiscalização de Contratos Administrativos;40;2020;Sim;;Sim
