PREGÃO;DESCRIÇÃO;QUANTIDADES DE ITENS LICITADOS;VALOR TOTAL HOMOLOGADO;UNIDADE RESPONSÁVEL;OBSERVAÇÃO 
01/2020;Contratação de pessoa jurídica para a prestação de serviços contínuos de limpeza;2;R$ 427.293,96;CAPANEMA;
01/2020;Contratação de Serviços comum de engenharia, reforma e manutenção do telhado;1;R$ 699.797,61;COLOMBO;
01/2019;Contratação de pessoa jurídica para a prestação de serviços contínuos de limpeza;1;R$ 240.847,44;IRATI;
01/2020;Contratação de pessoa jurídica para a prestação de serviços terceirizados de Porteiro diurno, escala 12x36, de natureza contínua, mediante dedicação exclusiva de mão de obra, para a atender às necessidades do IFPR Campus Irati, conforme condições, quantidades e exigências estabelecidas em Edital e seus anexos.;1;R$ 67.064,64;IRATI;
02/2020;Contratação de pessoa jurídica para a prestação de serviços contínuos de limpeza, conservação e higienização, mediante dedicação exclusiva de mão de obra, com fornecimento de materiais, uniformes e equipamentos, com vistas a atender às necessidades do Instituto Federal do Paraná – Campus Irati, conforme condições, quantidades e exigências estabelecidas em Edital e seus anexos.;1;R$ 212.000,00;IRATI;
01/2019;Contratação de empresa especializada para implantação de Iluminação Externa;1;R$ 43.250,00;IVAIPORÃ;
02/2019;Aquisição de Seguro predial;1;R$ 3.800,00;IVAIPORÃ;
04/2019;Serviços terceirizados de apoio às atividades operacionais e administrativas, para prestação de serviços de natureza contínua;4;R$ 390.766,44;IVAIPORÃ;
01/2019;Serviços contínuos de limpeza;4;R$ 464.796,12;LONDRINA;
02/2019;Fornecimento de cabeamento de rede de fibra óptica;1;R$ 750.450,97;LONDRINA;
03/2019;Serviços de mudança e transporte rodoviário local de carga;1;R$ 26.130,00;LONDRINA;
01/2020;Contratação de pessoa jurídica para a prestação de serviços contínuos de limpeza;5;R$ 605.206,68;LONDRINA;
02/2020;Contratação de empresa para execução de serviços de engenharia;1;R$ 169.955,47;LONDRINA;
03/2020;Aquisição de SISTEMA CAD CAM E SCANNER INTRA ORAL;1;R$ 653.140,09;LONDRINA;
03/2019;Aquisição de Pellet;1;R$ 266.800,00;PALMAS;
04/2019;Locação de Veículo;1;R$ 95.760,00;PALMAS;
06/2019;Aquisição de itens para incubadora, laboratório didático e atendimento pedagógico;56;R$ 537.972,16;PALMAS;
01/2020;O objeto da presente licitação é a escolha da proposta mais vantajosa para a contratação de serviços de empresa especializada na prestação de Apoio Administrativo para atender as necessidades dos campi Palmas e Curitiba do IFPR, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;3;R$ 331.469,64;PALMAS;
02/2020;A presente licitação tem como objeto Seleção de fornecedores para formação de ata de registro de preço de itens de consumo de infra-estrutura para atendimento das necessidades do Campus Palmas do IFPR.;87;R$ 96.104,61;PALMAS;
03/2020;O objeto da presente licitação é a escolha da proposta mais vantajosa para a Contratação de empresa especializada para execução de pintura predial externa das 18 edificações, de forma não simultaneamente, com Ordens de Serviço emitidas de acordo com a necessidade do campus Palmas do IFPR, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;1;R$ 236.799,99;PALMAS;
04/2020;Aquisição de material para laboratórios didáticos e apoio pedagógico no Campus Palmas - Permanente e Consumo;160;R$ 1.784.533,53;PALMAS;
09/2019;REPARAÇÃO E MANUTENÇÃO DOS TELHADOS PARANAVAÍ E UMUARAMA (PARANAVAÍ);2;R$ 93.389,36;PARANAVAÍ;
02/2020;Registro de Preços para contratação de serviços contínuos de jardinagem e roçada, sob demanda, para conservação e manutenção das áreas verdes  do IFPR - Campus Paranavaí, incluindo o fornecimento de utensílios e equipamentos, bem como mão de obra qualificada e equipamentos de proteção individual, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;1;R$ 21.999,96;PARANAVAÍ;
