Nome do grupo;Nome do líder;Área predominante do grupo
Núcleo de Pesquisa em Automação e Controle de Sistemas Dinâmicos;Ricardo Breganon;Engenharia Mecânica
Análise e Desenvolvimento de Sistemas em Engenharia Biomédica, Instrumentação e Técnicas de Controle ¿ ;Ricardo Gouveia Teodoro;Engenharia Elétrica
FÍSICA E SUAS INTERCONEXÕES COM OUTRAS CIÊNCIAS;Yuri Álisson Rodrigues de Oliveira;Física
Grupo de Pesquisa em Internet das Coisas;Evandro Cantú;Ciência da Computação
Grupo de Pesquisa em Currículo e Inovação;David José de Andrade Silva;Educação
Grupo de Pesquisas Filosofia, Ciência e Tecnologias - IFPR;José Provetti Junior;Filosofia
NUSEINTEC - Núcleo de Sociedade, Educação e Inovação Tecnológica do Instituto Federal do Paraná;Ayslan Trevizan Possebom;Educação
Tecnologia em Gestão Ambiental;Leandro Angelo Pereira;Ciências Ambientais
SCEIA - Grupo de Pesquisa em Sistemas Computacionais: Educação, Inovações e Aplicações;Eduardo Henrique Molina da Cruz;Ciência da Computação
Núcleo de Estudos e Pesquisa em Educação Social;Marcelo Adriano Colavitto;Educação
Grupo de Estudos e Pesquisa em Educação e Movimento - IFPR (GEPEM - IFPR);Guilherme da Silva Gasparotto;Saúde Coletiva
ENSINO, TECNOLOGIA E INOVAÇÃO EM FÍSICA;Jânia Duha;Física
Laboratório de Humanidades do Vale do Ivaí;José Eduardo Pimentel Filho;Ciência Política
Sistemas de Produção em Altitude;Jessé Rodrigo Fink;Agronomia
Educação a Distância e Tecnologias Digitais (EDiTeDi);Fernando Roberto Amorim Souza;Ciência da Informação
Bioacústica, Ecologia e Comportamento Animal - BECA;Gledson Vigiano Bianconi;Ecologia
Desenvolvimento de equipamentos para pessoas com deficiência;Vanessa Vogt;Engenharia Mecânica
GPGO - Grupo de Pesquisa em Gestão de Organizações;Adriano Stadler;Administração
Identidades Coletivas, Conflitos Territoriais e Educação Emancipatória no Sul do Brasil;Roberto Martins de Souza;Sociologia
Materiais didáticos de Ciências da Natureza em perspectiva ;Alysson Ramos Artuso;Educação
GPCA/IFPR - Grupo de Pesquisa em Computação Aplicada;Cleverton Juliano Alves Vicentini;Ciência da Computação
Grupo Interdisciplinar de Pesquisa Aplicada a Agroindústria - GIPAA;Marcio Miguel de Aguiar;Ciência e Tecnologia de Alimentos
Grupo de Pesquisa História, Educação e Cultura - Império Português e Brasil Colonial (Séculos XVI a XIX) - ;Felipe Augusto Fernandes Borges;Educação
EMPEC - Escritório Modelo para Gestão BIM em Projetos, Edificações e Construções ;Miguel Batista de Oliveira;Engenharia Civil
NIPSIS  - Núcleo Interdisciplinar de Pesquisa em Sistemas de Informação;Andréia Marini;Ciência da Computação
História e políticas da Educação Profissional;Wilson Lemos Júnior;Educação
Desenvolvimento de Processos e Produtos Quimiobiofísicos.;Ricardo Sonsim de Oliveira;Química
Estudos Teóricos em Ciência e Tecnologia de Alimentos;Felipe Richter Reis;Ciência e Tecnologia de Alimentos
Grupo de Estudos e Pesquisa em Educação Especial e Inclusiva do IFPR;Eliane Brunetto Pertile;Educação
NEPT - Núcleo de Estudos e Pesquisas sobre Trabalho, Organizações e Pessoas;Renato Koch Colomby;Administração
Núcleo Interdisciplinar de Pesquisa em Educação a Distância - NIPEAD;Vania Carla Camargo;Educação
Nyaya - Grupo de Pesquisa em Direito e Desenvolvimento Econômico;Vanessa Vilela Berbel;Direito
Núcleo de estudos linguísticos e literários do IFPR (NELLI);Ana Maria de Fátima Leme Tarini;Letras
Grupo de Pesquisa em Sustentabilidade - SUSTENTAR IFPR;Kathleen Dall Bello de Souza Risson;Ciências Ambientais
Grupo de Estudos e Pesquisas sobre a Pedagogia Histórico-crítica;Silvana Lazzarotto Schmitt;Educação
Grupo de pesquisa em educação em ciências e matemática (GPECiM);Fábio Ramos da Silva;Educação
Grupo de estudos e pesquisas em Expressão Gráfica e/no processo de ensino-aprendizagem;Heliza Colaço Góes;Educação
GTMOB ¿ Grupo de estudos em territórios, movimentos e mobilizações;Antonio Marcio Haliski;Geografia
Grupo de Pesquisa de Cuidados em Enfermagem ;Rejane Kiyomi Furuya;Enfermagem
NEDIH - Núcleo de Educação em Direitos Humanos;Cândida Joelma Leopoldino;Educação
Grupo de Estudos e Pesquisa em Educação do IFPR Assis Chateaubriand;Josiane Paula Maltauro Lopes;Educação
Grupo de Pesquisa em Gastronomia e Ciência dos Alimentos (GPGCA);Paola Stefanutti;Turismo
Núcleo de Pesquisa em Desenvolvimento de Inovação e Tecnologia;Marcia Cristina dos Reis;Ciência da Computação
Núcleo de Estudos e Pesquisas sobre Ensino Médio e Juventudes - NEPEMJ;Rerlen Ricardo Silva Paglia;Educação
Grupo de Estudos e Pesquisa em Palhaçaria, Comicidade e Ludicidade;Marcelo Adriano Colavitto;Artes
Grupo de Trabalho e de Pesquisa Histórias das Filosofias ;Benito Eduardo Araujo Maeso;Filosofia
EDIFICARE - Grupo de Estudos em Educação;Silvia Eliane de Oliveira Basso;Educação
