Tipo;Título;Inventores;Campus;Número INPI
Patente;Dispositivo de proteção para processos de soldagem e corte com indicação visual de ruídos e outras condições operacionais;Rafael Rogora Kawano, Marina Izabelle Grabarski, João Henrique da Graça Nogueira, Lucas Veiga Filadelfo, Maria Clara Chaves Pereira e Eduardo Ribeiro Cordeiro dos Santos;Paranaguá;BR 10 2018 004856 2
Patente;Sistema de monitoramento e alarme de passagens de entrada e saída;Marcos Dinis Lavarda;Telêmaco Borba;BR 10 2017 015488-2
Patente;Dispositivo para monitoramento de alimentos;Marcos Dinis Lavarda e Ricardo Ribas Junior;Telêmaco Borba;BR 10 2018 076107 2
Patente;Briquetes de lodo de esgoto sanitário estabilizado e aditivado;Ricardo Sonsim de Oliveira, Soraya Moreno Palácio e Edson Antônio da Silva;Cascavel: UNIOESTE/IFPR;BR 10 2018 009824 1
Patente;Cerveja com substituição parcial do malte por resíduo da industrialização da fécula de mandioca (bagaço de mandioca);Suellen Jensen Klososki, Carlos Eduardo Barão/Rosemeire Carvalho da Silva, Tatiana Colombo Pimentel, Laisa Letícia Machado dos Santos e José Vitor de Carvalho Silva;Paranavaí;BR 10 2017 026492 0
Patente;Sistema automatizado de monitoramento de temperatura e acionamento de ventiladores de modo sequencial;Edimaldo Fialho Nunes de Oliveira, Eduardo Liquio Takao, Cleber Fernando Serafim, Marcos Fernando Schimitt, André Luis Dengo, Gabriela Roggia Nunes, Guilherme Eugênio Garcia Bressan, Murilo Henrique Hentz e Samuel Neitzke Pontes;Capanema/Pinhais;BR 10 2018 001575 3
Patente;Sistema Visualizador de Veias para Dispositivos Móveis;Augusto Luengo Pereira Nunes, Gabrielle Jacklin Eler, Rosana Claudia de Assunção, kao Yu Chun e Vinicius Gambi Sales;Londrina;BR 10 2017 026024 0
Patente;Massa Comestível com Grão de Bico e sem Glúten e sem Lactose;Ana Flávia Escórnio, Caroline Mongruel Eleutério dos Santos, Michele Rosset, Richard Jojima Nagamato, Fabíola Dorneles Inácio, Mariane Marchioni, Nicole Francine da Silva/Luciano Krassota e Valdir Previato;Colombo;BR 10 2018 007766 0
Patente;Simulador inclusivo para cadeirantes;Andrel de Souza Pacete, Bryan Bueno Braga de Oliveira et all….;Telêmaco Borba;BR 20 2018 006331 1
Patente;Escova dentária com sucção-adulto;Marcelo Lupion Poleti, Paulo Henrique Rossato, Augusto Luengo Pereira Nunes e Tânia Christina Simões;Londrina;BR 20 2018 015902 5
Patente;Escova dentária com sucção-infantil;Marcelo Lupion Poleti, Paulo Henrique Rossato, Augusto Luengo Pereira Nunes e Tânia Christina Simões;Londrina;BR 20 2018 015942 4
Patente;Cerveja e Fermentado alcoólico a base de malte com adição de quinina e efeito de fluorescência em presença de luz ultravioleta;Ricardo Aparecido Ribeiro, Alexandre Lustoza de Carli, Renata Corassa e Pedro Flávio Reis Filho;Palmas;BR 10 2018 076150 1
Patente;Cerveja e Fermentado alcoólico a base de malte enriquecidos com bioativos presentes na pitanga (Eugenia uniflora L.);Ricardo Aparecido Pereira e Ana Karolina Santos Góes;Palmas;BR 10 2018 076151 0
Patente;Cerveja e fermentado alcoólico a base de malte enriquecidos com bioativos presentes na Romã (Punica granatum L.);Ricardo Aparecido Pereira e Bruna Eduarda Feliz;Palmas;BR 10 2018 076152 8
Patente;Cerveja e fermentado alcoólico a base de malte com adição de riboflavina e efeito de fluorescência em presença de iluminação ultravioleta;Ricardo Aparecido Pereira, Aline Tiecher Marin, Alexandre Lustoza de Carli e Pedro Flávio Reis Filho;Palmas;BR 10 2018 076153 6
Patente;Otimização do Processo de obtenção de vinho base e de vinho Espumante de Amora-preta (Rubus sp.);Kely Priscila de Lima, Diego Matos Favero, Catiuça Camile da Silva Vaaz, Ana Carla Meneghet e Eduardo Muller Bitencourt;Palmas;BR 10 2018 076154 4
Patente;Controle de Ambientes por central de comando distribuída;Amanda Pereira Lemke, Rafael Luis Bartz e Luis Herique Manosso Von Mechein;Assis Chateaubriand;BR 10 2019 009358 7
Patente;Composição herbicida com mecanismos de ação sobre a via dos fenilpropanoides;Renata de Souza Panarari, Aline Finger Teixeira, Wanderley Dantas dos Santos, Larissa Dalólio Valente, Edivaldo José da Silva Júnior e Vanessa Guimarães Alves Olher;Paranavaí;BR 10 2018 076340 7
