NÚMERO;ANO;ÓRGÃO CONCEDENTE;UNIDADE RESPONSÁVEL;OBJETO;ASSINATURAS;VIGÊNCIA;VALOR TOTAL
365/2020-MAPA;2020;MAPA;MAPA;Foodtech e AgroBit 2020;25/09/2020;31/12/2021;200000
9553/2020-DPB/CAPES;2020;MEC;DPB/CAPES;Concessão PROAP 2020;24/09/2020;30/04/2021;18830,52
9390/2020-SETEC;2020;MEC;SETEC;Aquisição de equipamentos para laboratório de química - Campus Goioerê;24/06/2020;30/01/2021;149955,9
9273/2020-SETEC;2020;MEC;SETEC;Desenvolvimento de ações de enfrentamento ao Covid-19;27/04/2020;31/12/2020;410000
9197/2020-SETEC;2020;MEC;SETEC;Aquisição de insumos e materiais de consumo: produção de álcool gel.;20/04/2020;31/12/2020;200000,02
9436/2020-SETEC;2020;MEC;SETEC;Edital 01/2020/CONIF - projeto Identificação biomarcadores na saliva;13/07/2020;30/12/2020;500000
9334/2020-SETEC;2020;MEC;SETEC;Construção do Galpão para laboratório de edificações - Campus Cascavel;23/06/2020;30/12/2020;150000
020/2019-MCTIC;2019;MCTIC;MCTIC;EQUIPAMENTOS LABORATÓRIO DE QUÍMICA - PARANAVAÍ;19/12/2019;31/12/2021;79775,62
9034/2019-SETEC;2019;MEC;SETEC;Construção de Guarita Campus Londrina - ID 52654;30/12/2019;30/06/2021;283076,33
9033/2019-SETEC;2019;MEC;SETEC;Equipamentos e Mobiliários - Unidade Castro.;27/12/2019;28/02/2021;353780,88
9119/2019-SETEC;2019;MEC;SETEC;Construção de laboratório do curso de agronomia (ID 52577);31/12/2019;31/12/2020;934044,36
8570/2019-SETEC;2019;MEC;SETEC;Emenda Parlamentar do Dep. Enio Verri;11/12/2019;31/12/2020;239996,47
8568/2019-SETEC;2019;MEC;SETEC;Emenda Parlamentar do Dep. Sérgio Souza - Campus Ivaiporã (ID 52577);11/12/2019;31/12/2020;600000
8783/2019-SETEC;2019;MEC;SETEC;Aquisição equipamento Campus Paranavaí;20/12/2019;30/06/2020;59976,59
8748/2019-FNDE;2019;MEC;FNDE;Oferta de cursos técnicos subsequentes na modalidade a distância.;27/11/2019;30/06/2022;450000
9060/2019-SETEC;2019;MEC;SETEC;Aquisição de computadores para os Campi e Reitoria do IFPR;27/12/2019;30/12/2020;799455
9024/2019-SETEC;2019;MEC;SETEC;Aquisição de computadores para os Campi e Reitoria do IFPR;27/12/2019;30/12/2020;1025310
8537/2019-SETEC;2019;MEC;SETEC;OBRA: REFORMA - VILA OFICINAS;30/10/2019;30/06/2020;1258739,36
8793/2019-SETEC;2019;MEC;SETEC;Usinas geradores de energia fotovoltaica;06/12/2019;30/12/2020;1391501,92
8757/2019-SETEC;2019;MEC;SETEC;Aquisição de Rede lógica Campus Londrina.;22/11/2019;30/12/2020;600000
8756/2019-SETEC;2019;MEC;SETEC;Aquisição mobiliário Campus Londrina;26/11/2019;30/12/2020;400000
6671/2017 - SPO;2019;MEC;SPO;OBRA: BLOCO DIDÁTICO - CAMPUS LONDRINA;30/11/2017;30/12/2020;178215,73
6747/2017 - SPO;2019;MEC;SPO;OBRAS: ACESSIBILIDADE - CAMPUS PALMAS;19/12/2017;30/06/2020;123486,9
8569/2019-SETEC;2019;MEC;SETEC;Emenda Parlamentar Dep. Toninho Wandscheer - Aquisição de computadores;31/12/2019;30/12/2020;1996580
005/2019 - SENASP;2019;MJ;SENASP;PROJETO DE DIAGNÓSTICO SOCIOTERRITORIAL DE SEGURANÇA PÚBLICA;12/06/2019;31/10/2019;122589,75
